mean,std,percentile_025,percentile_500,percentile_975,team_id,season,name,team_name
0.0010435042204335332,0.057724662125110626,-0.11297455430030823,0.00036767288111150265,0.10793450474739075,,2010,defense_team_rw,
-0.000016543031961191446,0.05652691423892975,-0.11255893856287003,-7.006543455645442e-6,0.10957486182451248,,2011,defense_team_rw,
-0.0003162903303746134,0.055713169276714325,-0.10926998406648636,0.000946151849348098,0.10483447462320328,,2012,defense_team_rw,
0.0004288270138204098,0.05548017472028732,-0.10863298177719116,0.0007161576068028808,0.10822314023971558,,2013,defense_team_rw,
-0.0008949533803388476,0.05710660666227341,-0.11233986169099808,-0.0011040176032111049,0.11073613166809082,,2014,defense_team_rw,
-0.0005929033504799008,0.05482137203216553,-0.11224357038736343,-0.0007159325759857893,0.10450837761163712,,2015,defense_team_rw,
-0.0012497496791183949,0.05673644319176674,-0.10822784900665283,-0.004020382650196552,0.10889679938554764,,2016,defense_team_rw,
-0.0025803016033023596,0.05731729045510292,-0.11265912652015686,-0.003007150487974286,0.1090455874800682,,2017,defense_team_rw,
0.0009453457896597683,0.05496620014309883,-0.10688468813896179,-0.000024960841983556747,0.10812174528837204,,2018,defense_team_rw,
-0.002794604981318116,0.05784115195274353,-0.11635766923427582,-0.0027122669853270054,0.10940815508365631,,2019,defense_team_rw,
-0.00006940457387827337,0.05742121487855911,-0.10641127824783325,-0.0003118413733318448,0.11468327790498734,,2020,defense_team_rw,
-0.0024856035597622395,0.056597523391246796,-0.10961238294839859,-0.0035033689346164465,0.11137170344591141,,2021,defense_team_rw,
-0.0016951890429481864,0.05764841288328171,-0.11521446704864502,-0.0003095794527325779,0.10856486856937408,,2022,defense_team_rw,
-0.002201604889705777,0.05397601053118706,-0.10531502962112427,-0.0012176262680441141,0.10013345628976822,,2023,defense_team_rw,
-0.003926051780581474,0.056501131504774094,-0.11357345432043076,-0.005037199705839157,0.1074645146727562,,2024,defense_team_rw,
-0.0016391674289479852,0.05665618181228638,-0.11572938412427902,-0.0007127973949536681,0.1105131059885025,,2025,defense_team_rw,
-0.003066068282350898,0.05653151869773865,-0.11296545714139938,-0.003484731540083885,0.11091671884059906,,2026,defense_team_rw,
-0.0031805916223675013,0.07903696596622467,-0.15597833693027496,-0.0014930999604985118,0.14808736741542816,,2027,defense_team_rw,
-0.02011612430214882,0.05701650306582451,-0.13097800314426422,-0.020025376230478287,0.08602401614189148,3101,2010,defense_team_rw,Abilene Chr
-0.04650561884045601,0.05687328800559044,-0.14918513596057892,-0.04742081090807915,0.0647902637720108,3101,2011,defense_team_rw,Abilene Chr
-0.06458305567502975,0.05543643981218338,-0.1711874008178711,-0.06418756395578384,0.043561942875385284,3101,2012,defense_team_rw,Abilene Chr
-0.07862203568220139,0.054519765079021454,-0.18387141823768616,-0.0791737288236618,0.030878985300660133,3101,2013,defense_team_rw,Abilene Chr
-0.10431109368801117,0.026686467230319977,-0.15575005114078522,-0.10426919162273407,-0.051408715546131134,3101,2014,defense_team_rw,Abilene Chr
-0.06366018205881119,0.026807498186826706,-0.11694032698869705,-0.06350170075893402,-0.012667563743889332,3101,2015,defense_team_rw,Abilene Chr
-0.05857996642589569,0.026144903153181076,-0.11008799821138382,-0.05851290374994278,-0.006381267681717873,3101,2016,defense_team_rw,Abilene Chr
-0.07921265065670013,0.02610258013010025,-0.1293921023607254,-0.07932604104280472,-0.030291013419628143,3101,2017,defense_team_rw,Abilene Chr
-0.23159030079841614,0.025930074974894524,-0.28320443630218506,-0.23154626786708832,-0.17957250773906708,3101,2018,defense_team_rw,Abilene Chr
-0.1497182548046112,0.024520182982087135,-0.1975475251674652,-0.14970359206199646,-0.10212679207324982,3101,2019,defense_team_rw,Abilene Chr
-0.18459947407245636,0.025055570527911186,-0.23067408800125122,-0.18513348698616028,-0.1355191171169281,3101,2020,defense_team_rw,Abilene Chr
-0.14572833478450775,0.030240677297115326,-0.20629696547985077,-0.14498043060302734,-0.08842447400093079,3101,2021,defense_team_rw,Abilene Chr
-0.21163785457611084,0.025397418066859245,-0.26248660683631897,-0.2114940881729126,-0.1616067737340927,3101,2022,defense_team_rw,Abilene Chr
-0.11527109146118164,0.024474522098898888,-0.16215364634990692,-0.11505991965532303,-0.06687811017036438,3101,2023,defense_team_rw,Abilene Chr
-0.08536223322153091,0.023391451686620712,-0.13047127425670624,-0.08561179786920547,-0.038945697247982025,3101,2024,defense_team_rw,Abilene Chr
-0.032326072454452515,0.02400585636496544,-0.07814383506774902,-0.032409340143203735,0.015118876472115517,3101,2025,defense_team_rw,Abilene Chr
0.02936212345957756,0.024504859000444412,-0.018681617453694344,0.03005247376859188,0.07569357752799988,3101,2026,defense_team_rw,Abilene Chr
0.02576158195734024,0.07918435335159302,-0.13078561425209045,0.026926955208182335,0.1815623790025711,3101,2027,defense_team_rw,Abilene Chr
-0.22384950518608093,0.02632971666753292,-0.27416935563087463,-0.22404170036315918,-0.16997507214546204,3102,2010,defense_team_rw,Air Force
-0.15345509350299835,0.024631600826978683,-0.20151904225349426,-0.1530458629131317,-0.10574961453676224,3102,2011,defense_team_rw,Air Force
-0.12980926036834717,0.02499191276729107,-0.178367018699646,-0.13039693236351013,-0.07846346497535706,3102,2012,defense_team_rw,Air Force
-0.14527083933353424,0.025124812498688698,-0.19528648257255554,-0.14546556770801544,-0.09699991345405579,3102,2013,defense_team_rw,Air Force
-0.19742627441883087,0.024827606976032257,-0.24631331861019135,-0.19751986861228943,-0.15060923993587494,3102,2014,defense_team_rw,Air Force
