mean,std,percentile_025,percentile_500,percentile_975,team_id,season,name,team_name,first_d1_season,last_d1_season
-0.0009871156653389335,0.04185573756694794,-0.08104830980300903,-0.002452917629852891,0.08141091465950012,,2003,defense_team_rw,,,
-0.0006523509509861469,0.04039789363741875,-0.08071214705705643,-0.0010359189473092556,0.08025538921356201,,2004,defense_team_rw,,,
0.0015827156603336334,0.04182944446802139,-0.07654797285795212,0.0011964748846367002,0.08296650648117065,,2005,defense_team_rw,,,
0.0011352641740813851,0.03972925245761871,-0.0796835795044899,0.0014105929294601083,0.07648018002510071,,2006,defense_team_rw,,,
0.000550266180653125,0.03977945074439049,-0.07309669256210327,0.000465575372800231,0.0810379683971405,,2007,defense_team_rw,,,
-0.0009657623013481498,0.04002802446484566,-0.0790531188249588,-0.0008152823429554701,0.07841420918703079,,2008,defense_team_rw,,,
-0.0004312378296162933,0.0411556139588356,-0.08330591022968292,-0.0008396454504691064,0.07901782542467117,,2009,defense_team_rw,,,
-0.001676694955676794,0.03997855633497238,-0.0789080485701561,-0.0019372073002159595,0.07603111863136292,,2010,defense_team_rw,,,
-0.0001163524721050635,0.0409572571516037,-0.08084117621183395,-0.000696863338816911,0.07779476046562195,,2011,defense_team_rw,,,
-0.0026516686193645,0.04059455916285515,-0.07952294498682022,-0.00398463848978281,0.0757514089345932,,2012,defense_team_rw,,,
-0.0008394203614443541,0.04060359299182892,-0.07843631505966187,-0.0004871396813541651,0.0781790167093277,,2013,defense_team_rw,,,
-0.0005049756146036088,0.04004811495542526,-0.07602562755346298,-0.0014781105564907193,0.07989928871393204,,2014,defense_team_rw,,,
0.00181048852391541,0.03972099348902702,-0.07672066241502762,0.002492875326424837,0.08057425171136856,,2015,defense_team_rw,,,
-0.0020234226249158382,0.03857462480664253,-0.07740959525108337,-0.0023905348498374224,0.07283490151166916,,2016,defense_team_rw,,,
-0.00298511260189116,0.039425577968358994,-0.0772143080830574,-0.003677892964333296,0.07581225782632828,,2017,defense_team_rw,,,
0.0023710664827376604,0.04046501964330673,-0.07754572480916977,0.004160932265222073,0.08123406022787094,,2018,defense_team_rw,,,
-0.00037790360511280596,0.04108055680990219,-0.08215726166963577,0.0008528870530426502,0.07818160951137543,,2019,defense_team_rw,,,
-0.0014900969108566642,0.03921995311975479,-0.07760360836982727,-0.0020587972830981016,0.07357223331928253,,2020,defense_team_rw,,,
-0.0011728130048140883,0.04087067395448685,-0.08237019926309586,-0.0015211927238851786,0.07999305427074432,,2021,defense_team_rw,,,
-0.003329216269776225,0.04121933504939079,-0.0828280821442604,-0.004009253345429897,0.07656468451023102,,2022,defense_team_rw,,,
-0.0035123296547681093,0.03952900692820549,-0.08002912253141403,-0.004293965641409159,0.07342265546321869,,2023,defense_team_rw,,,
0.001582231605425477,0.039870068430900574,-0.07307492941617966,0.00022398773580789566,0.08067189157009125,,2024,defense_team_rw,,,
-0.0002520435082260519,0.04018803685903549,-0.07889433205127716,-0.0008517939713783562,0.0758642926812172,,2025,defense_team_rw,,,
-0.003383713774383068,0.03948785364627838,-0.0804814025759697,-0.0027958231512457132,0.07225286215543747,,2026,defense_team_rw,,,
-0.0007044504745863378,0.05818293243646622,-0.11179769039154053,-0.0019296028185635805,0.11787869036197662,,2027,defense_team_rw,,,
-0.01162904966622591,0.039407432079315186,-0.0861811637878418,-0.012486916035413742,0.06714866310358047,1101,2003,defense_team_rw,Abilene Chr,2014,2026
-0.027375591918826103,0.03980160132050514,-0.10307926684617996,-0.02770783007144928,0.0508190393447876,1101,2004,defense_team_rw,Abilene Chr,2014,2026
-0.04668008163571358,0.040831029415130615,-0.12450147420167923,-0.04704708606004715,0.034111279994249344,1101,2005,defense_team_rw,Abilene Chr,2014,2026
-0.05665815249085426,0.041207313537597656,-0.13649670779705048,-0.05734946206212044,0.027463331818580627,1101,2006,defense_team_rw,Abilene Chr,2014,2026
-0.07232637703418732,0.041636332869529724,-0.15402737259864807,-0.07253624498844147,0.007996434345841408,1101,2007,defense_team_rw,Abilene Chr,2014,2026
-0.08631504327058792,0.03924955800175667,-0.16082336008548737,-0.08630053699016571,-0.00793980062007904,1101,2008,defense_team_rw,Abilene Chr,2014,2026
-0.10293498635292053,0.04031221196055412,-0.18288134038448334,-0.10326068103313446,-0.024311194196343422,1101,2009,defense_team_rw,Abilene Chr,2014,2026
-0.11473068594932556,0.038235634565353394,-0.19398844242095947,-0.11413294076919556,-0.040973275899887085,1101,2010,defense_team_rw,Abilene Chr,2014,2026
-0.1320195496082306,0.03996141627430916,-0.21147502958774567,-0.13178503513336182,-0.05272490158677101,1101,2011,defense_team_rw,Abilene Chr,2014,2026
-0.14551880955696106,0.04135627672076225,-0.2258816361427307,-0.14641660451889038,-0.06631352752447128,1101,2012,defense_team_rw,Abilene Chr,2014,2026
-0.15987159311771393,0.040464725345373154,-0.23998738825321198,-0.15973451733589172,-0.08250907063484192,1101,2013,defense_team_rw,Abilene Chr,2014,2026
-0.1752859205007553,0.025396665558218956,-0.22336699068546295,-0.1759338676929474,-0.12570041418075562,1101,2014,defense_team_rw,Abilene Chr,2014,2026
-0.163931742310524,0.02273140661418438,-0.20659774541854858,-0.1644885540008545,-0.11909731477499008,1101,2015,defense_team_rw,Abilene Chr,2014,2026
-0.12392133474349976,0.02334042266011238,-0.16835926473140717,-0.12338000535964966,-0.07800107449293137,1101,2016,defense_team_rw,Abilene Chr,2014,2026
-0.06966178864240646,0.02370450086891651,-0.11608743667602539,-0.07036422193050385,-0.022009894251823425,1101,2017,defense_team_rw,Abilene Chr,2014,2026
